Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
S B Real Estate,Real estate rental agency,120,4.9,089512 37776,,,,,,,,"#12, 2nd Cross Rd, Thimmareddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka 560075","=HYPERLINK(""https://www.google.com/maps/place/S+B+Real+Estate/data=!4m7!3m6!1s0x3bae13a50d37c03d:0x24095c495f20e5ba!8m2!3d12.9659167!4d77.6607603!16s%2Fg%2F11mv221pf8!19sChIJPcA3DaUTrjsRuuUgX0lcCSQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
MaiSai Realty - Real estate agency,Real estate agent,100,4.7,080502 76328,https://maisairealty.com/,"=HYPERLINK(""https://maisairealty.com/"", ""Visit Website"")","info@maisairealty.com, 8050276328info@maisairealty.com, 8050276328info@maisairealty.com457, email@email.com",https://linkedin.com/in/maisai-realty-3b8444232,https://facebook.com/sharer.php,,https://twitter.com/intent,"457, 1st Floor, 5th Main Rd, HIG, Dollars Colony, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094","=HYPERLINK(""https://www.google.com/maps/place/MaiSai+Realty+-+Real+estate+agency/data=!4m7!3m6!1s0x3bae17e697eee069:0x72295458d1a60594!8m2!3d13.042443!4d77.5670728!16s%2Fg%2F11c30v1s27!19sChIJaeDul-YXrjsRlAWm0VhUKXI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Dreams Realty,Real estate agent,100,4.8,081500 41742,https://dreamsrealty.co.in/,"=HYPERLINK(""https://dreamsrealty.co.in/"", ""Visit Website"")","info@dreamsrealty.co.in, 9663982707info@dreamsrealty.co.inno, 9663982707info@dreamsrealty.co.inothershomeproperties",https://linkedin.com/company/dreams-realty-pvt-ltd,https://facebook.com/residentialpropertymanagers,https://instagram.com/dreamsrealty_whitefield,https://twitter.com/dreams_realty,"8, 2nd floor, Nandi Infotech above SBI Bank 1st Main road, ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560048","=HYPERLINK(""https://www.google.com/maps/place/Dreams+Realty/data=!4m7!3m6!1s0x3bae11e899f15a5b:0x4c854df840a4a56f!8m2!3d12.9924788!4d77.7330337!16s%2Fg%2F11g8p65lbf!19sChIJW1rxmegRrjsRb6WkQPhNhUw?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
"Settlin, Property Consultancy",Real estate agency,100,4.6,095900 39003,https://settlin.in/,"=HYPERLINK(""https://settlin.in/"", ""Visit Website"")","ushello@settlin.in, hello@settlin.in, career+webapp@settlin.in, escalation@settlin.in, escalation@settlin.inour",https://linkedin.com/company/settlin-in,https://facebook.com/in.settlin,https://instagram.com/settlin_in,https://twitter.com/settlin_in,"Ground Floor, EBC Space 2, 19th Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","=HYPERLINK(""https://www.google.com/maps/place/Settlin,+Property+Consultancy/data=!4m7!3m6!1s0x3bae1442b3228fcb:0xb55d7523854a4779!8m2!3d12.9201969!4d77.6451608!16s%2Fg%2F11cjrkw7mq!19sChIJy48is0IUrjsReUdKhSN1XbU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
MN Realtors since 1998 - Real Estate Consultants Bangalore,Real estate consultant,120,4.7,098440 11876,,,,,,,,"2nd floor, Malika Mansion, 94-1/2, Infantry Rd, behind Karnataka Bank, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/MN+Realtors+since+1998+-+Real+Estate+Consultants+Bangalore/data=!4m7!3m6!1s0x3bae1662d12126c5:0x6ea30881a7fccc6a!8m2!3d12.9796371!4d77.6054877!16s%2Fg%2F1tf7w4ln!19sChIJxSYh0WIWrjsRasz8p4EIo24?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Sri Balaji Real Estate,Real estate agency,120,4.8,099022 09306,,,,,,,,"No. 1, 1st cross, 1st main Ashwini Layout, Ejipura, Koramangala, Bengaluru, Karnataka 560047","=HYPERLINK(""https://www.google.com/maps/place/Sri+Balaji+Real+Estate/data=!4m7!3m6!1s0x3bae15d2bc788329:0x94726f253ced4e12!8m2!3d12.9392277!4d77.6283111!16s%2Fg%2F11fq4crmcl!19sChIJKYN4vNIVrjsREk7tPCVvcpQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Kimia Realty Office Space In Bangalore - Warehouse Space In Bangalore,Commercial real estate agency,70,5.0,098453 08005,http://kimiarealty.com/,"=HYPERLINK(""http://kimiarealty.com/"", ""Visit Website"")",,,,,,"51, Infantry Rd, above Linen Club, opposite Gulistan Shadi Mahal, Shivaji Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Kimia+Realty+Office+Space+In+Bangalore+-+Warehouse+Space+In+Bangalore/data=!4m7!3m6!1s0x3bae16636b0fdaeb:0x724eb1a24280b4b9!8m2!3d12.98194!4d77.601264!16s%2Fg%2F11f1vp70ns!19sChIJ69oPa2MWrjsRubSAQqKxTnI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Square Feet Realtors,Real estate consultant,100,4.4,098450 76840,https://www.squarefeetrealtors.in/,"=HYPERLINK(""https://www.squarefeetrealtors.in/"", ""Visit Website"")",sfrealtors1@gmail.com,,https://facebook.com/sf.realtors,https://instagram.com/squarefeet.realtors,,"Vasundhra Complex, 209, 7th Main Rd, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","=HYPERLINK(""https://www.google.com/maps/place/Square+Feet+Realtors/data=!4m7!3m6!1s0x3bae15e0fa03e209:0x4f23d467d8e27c92!8m2!3d13.0173579!4d77.6429357!16s%2Fg%2F1tdmyz23!19sChIJCeID-uAVrjsRknzi2GfUI08?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Temptation Realty inc,Real estate agency,100,5.0,097415 55559,http://temptationrealtyinc.com/,"=HYPERLINK(""http://temptationrealtyinc.com/"", ""Visit Website"")",info@temptationrealtyinc.com,https://linkedin.com/in/dileep-shetty-temptation-realty-inc-146a6752,https://facebook.com/temptationrealty,https://instagram.com/temptationrealty_,https://twitter.com/dileepshet,"122/2, 1st Floor, Brigade Ternia, Landmark-next to Ibaco Icecream shop, Brigade Rd, opposite of Brigade Tower, Bengaluru, Karnataka 560025","=HYPERLINK(""https://www.google.com/maps/place/Temptation+Realty+inc/data=!4m7!3m6!1s0x3bae15de11a3bb17:0xd8e89ffebdc401f2!8m2!3d12.9671979!4d77.6061979!16s%2Fg%2F11p5zkg_gb!19sChIJF7ujEd4VrjsR8gHEvf6f6Ng?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Times Estates,Real estate agency,50,4.7,080 4123 5123,http://www.timesestates.com/,"=HYPERLINK(""http://www.timesestates.com/"", ""Visit Website"")",info@timesestates.com,,,,,"2B, Level 2 No.13, Tawakkal Chancery, Dodda Banaswadi Main Rd, D Costa Layout, Cooke Town, Bengaluru, Karnataka 560005","=HYPERLINK(""https://www.google.com/maps/place/Times+Estates/data=!4m7!3m6!1s0x3bae16688504aa97:0xcee73cb20322cf74!8m2!3d13.0002417!4d77.6257444!16s%2Fg%2F1tgg8dgt!19sChIJl6oEhWgWrjsRdM8iA7I8584?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
TOPLINE ESTATES,Real estate agent,70,4.9,098454 64535,http://www.toplineestates.com/,"=HYPERLINK(""http://www.toplineestates.com/"", ""Visit Website"")",,,,,,"costa square, 80/2 D, North Rd, C K Gardens, Thomas Town, Cooke Town, Bengaluru, Karnataka 560084","=HYPERLINK(""https://www.google.com/maps/place/TOPLINE+ESTATES/data=!4m7!3m6!1s0x3bae1719efff9f6f:0x121820a508582b33!8m2!3d13.0047374!4d77.6253045!16s%2Fg%2F1q625w84d!19sChIJb5__7xkXrjsRMytYCKUgGBI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Inbengaluru Properties,Property management company,100,4.8,096865 47123,http://www.inbengaluruproperties.com/,"=HYPERLINK(""http://www.inbengaluruproperties.com/"", ""Visit Website"")","atinfo@inbengaluruproperties.com, info@inbengaluruproperties.com",https://linkedin.com/company/inbengaluruproperties,https://facebook.com/inbengaluruproperties,https://instagram.com/inbengaluruproperties,,"2 nd, 79/2, Nandi Durga Rd, above Apollo Pharmacy, Floor, Jayamahal, Bengaluru, Karnataka 560046","=HYPERLINK(""https://www.google.com/maps/place/Inbengaluru+Properties/data=!4m7!3m6!1s0x3bae1755f77879d3:0x796c5abf0c30749b!8m2!3d12.9981163!4d77.6008098!16s%2Fg%2F11py9sshl4!19sChIJ03l491UXrjsRm3QwDL9abHk?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
New Door Venture | Real Estate Consultants in Bangalore,Real estate agent,100,4.9,096866 07663,https://www.newdoorventures.in/,"=HYPERLINK(""https://www.newdoorventures.in/"", ""Visit Website"")",support@newdoorventures.in,,https://facebook.com/newdoorventurespvt.ltd,https://instagram.com/newdoorventures_,https://twitter.com/doorventures,"516, SOL ARCADE 8th Cross Phase 1 80ft, Jakkur Road, MCECHS Layout, Bengaluru, Karnataka 560077","=HYPERLINK(""https://www.google.com/maps/place/New+Door+Venture+%7C+Real+Estate+Consultants+in+Bangalore/data=!4m7!3m6!1s0x3bae19d328c92ccf:0x709b2a608da38e31!8m2!3d13.0689524!4d77.6262889!16s%2Fg%2F11j7jc55ym!19sChIJzyzJKNMZrjsRMY6jjWAqm3A?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Abrars Estates & Properties,Commercial real estate agency,100,4.8,098861 14920,https://abrars.com/,"=HYPERLINK(""https://abrars.com/"", ""Visit Website"")",sales@abrars.com,,https://facebook.com/abrarsestatesproperties,https://instagram.com/abrars_realestate_bangalore,https://twitter.com/abrarsrealtors,"Blue Cross Chambers, 201, 11, Infantry Rd Cross, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Abrars+Estates+%26+Properties/data=!4m7!3m6!1s0x3bae16637d53daf5:0x570dd94f72e456f7!8m2!3d12.9807237!4d77.6053848!16s%2Fg%2F1thp_4lw!19sChIJ9dpTfWMWrjsR91bkck_ZDVc?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
MagicFloor | Property Consultants in Bangalore | Buy | Sell | Rent,Real estate consultant,100,4.8,090353 85599,http://www.magicfloor.in/,"=HYPERLINK(""http://www.magicfloor.in/"", ""Visit Website"")","info@magicfloor.in, info@magicfloor.in / magicfloor22@gmail.com, magicfloor22@gmail.com",,https://facebook.com/magicfloor-104463048820824,,,"560098, BHEL 2nd Stage, Pattanagere, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098","=HYPERLINK(""https://www.google.com/maps/place/MagicFloor+%7C+Property+Consultants+in+Bangalore+%7C+Buy+%7C+Sell+%7C+Rent/data=!4m7!3m6!1s0x3bae3f6f71d20a85:0x94130b7f02329a42!8m2!3d12.9161485!4d77.5095378!16s%2Fg%2F11rnk3d8gb!19sChIJhQrScW8_rjsRQpoyAn8LE5Q?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
BricksandRoof Real estate Consultant,Real estate consultant,100,4.7,099010 55002,https://bricksandroof.com/,"=HYPERLINK(""https://bricksandroof.com/"", ""Visit Website"")",sachin@bricksandroof.com,https://linkedin.com/company/bricksandroof,https://facebook.com/bricksandroof2,https://instagram.com/bricksandroof,https://x.com/bricksandroof1,"Somerset, C401, Mahatma Gandhi Rd, near Metro Station Trinity, Craig Park Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/BricksandRoof+Real+estate+Consultant/data=!4m7!3m6!1s0x3bae15a1e92abb43:0xff7d0d80c68d5377!8m2!3d12.9729818!4d77.6168945!16s%2Fg%2F1pty3l_sg!19sChIJQ7sq6aEVrjsRd1ONxoANff8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Bhoolok International Reality Pvt Ltd,Real estate consultant,100,4.6,080 2221 7999,http://bhoolok.com/,"=HYPERLINK(""http://bhoolok.com/"", ""Visit Website"")",info@bhoolok.com,,https://facebook.com/infobhoolok,https://instagram.com/infobhoolok,,"NO 305, 3rd Floor, Embassy Chambers,, # 5, Vittal Mallya Road, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Bhoolok+International+Reality+Pvt+Ltd/data=!4m7!3m6!1s0x3bae16790443b2f7:0xb24f15821cd2affd!8m2!3d12.970431!4d77.599681!16s%2Fg%2F11bzyp69zk!19sChIJ97JDBHkWrjsR_a_SHIIVT7I?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
SLV real estate agency,Real estate agency,120,4.9,090197 34440,,,,,,,,"474/101, 3rd Main Rd, Gruhalakshmi Housing Colony, Peenya, Bengaluru, Karnataka 560073","=HYPERLINK(""https://www.google.com/maps/place/SLV+real+estate+agency/data=!4m7!3m6!1s0x220242ae33edfff9:0x33ac4be54fe3ef04!8m2!3d13.0278311!4d77.4983471!16s%2Fg%2F11vds21__m!19sChIJ-f_tM65CAiIRBO_jT-VLrDM?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Savills Bengaluru,Real estate agency,20,4.6,080 6138 0040,http://www.savills.in/,"=HYPERLINK(""http://www.savills.in/"", ""Visit Website"")",,https://linkedin.com/company/savillsindia,https://facebook.com/savillsin,https://instagram.com/savillsindia,https://twitter.com/indiasavills,"Ground Floor, Prestige Summit, St. Johns Road Ward No. 90, Halasuru, Sivanchetti Gardens, Bengaluru, Karnataka 560042","=HYPERLINK(""https://www.google.com/maps/place/Savills+Bengaluru/data=!4m7!3m6!1s0x3bae167740aadaab:0xd0a3482454dca635!8m2!3d12.9860424!4d77.6160158!16s%2Fg%2F1q2wh3qcy!19sChIJq9qqQHcWrjsRNabcVCRIo9A?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Home Plus Reality,Real estate agent,30,5.0,090362 99996,http://www.homeplusreality.com/,"=HYPERLINK(""http://www.homeplusreality.com/"", ""Visit Website"")",,https://linkedin.com/company/17960981,https://facebook.com/homeplusreality,https://instagram.com/homeplusreality_blr,,"First Floor, Rathod Vatika, D-1, Yeshwanthpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka 560022","=HYPERLINK(""https://www.google.com/maps/place/Home+Plus+Reality/data=!4m7!3m6!1s0x3bae3d9b886e947f:0xdf9de15961ea18c3!8m2!3d13.01464!4d77.5508288!16s%2Fg%2F11g6p0brz7!19sChIJf5RuiJs9rjsRwxjqYVnhnd8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Thapasi Real Estate,Real estate agency,140,3.9,098459 27456,,,,,,,,"Bus Stop, #110 16th Main, 12th Cross Rd, opp. to bhagylakshmi gold palace, near Tavarekere, BTM 1st Stage, Bengaluru, Karnataka 560029","=HYPERLINK(""https://www.google.com/maps/place/Thapasi+Real+Estate/data=!4m7!3m6!1s0x3bae14ff0c7dc611:0xb7905379aa858c16!8m2!3d12.9201703!4d77.6103869!16s%2Fg%2F11b783jqgz!19sChIJEcZ9DP8UrjsRFoyFqnlTkLc?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Shivas realty,Real estate agency,50,4.8,099001 23798,http://www.shivasrealty.com/,"=HYPERLINK(""http://www.shivasrealty.com/"", ""Visit Website"")","usinfo.shivasrealty@gmail.comuseful, 9341248044info.shivasrealty@gmail.comconnect, +91-9900123798info.shivasrealty@gmail.combasavanagudi, info.shivasrealty@gmail.com",,,,,"25, Puttanna Rd, Basavanagudi, Bengaluru, Karnataka 560004","=HYPERLINK(""https://www.google.com/maps/place/Shivas+realty/data=!4m7!3m6!1s0x3bae158d74ebb0d1:0x76c9233e7797e04!8m2!3d12.9409354!4d77.57213!16s%2Fg%2F11bxdy2675!19sChIJ0bDrdI0VrjsRBH555zOSbAc?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Prop Floor Realty... Real Estate Service Provider Company,Real estate agency,70,4.7,,http://www.propfloor.com/,"=HYPERLINK(""http://www.propfloor.com/"", ""Visit Website"")",,,,,,"Rukmani Buildings, 2nd Floor, 9th A Main, next to Metro Station, Indiranagar, Karnataka 560038","=HYPERLINK(""https://www.google.com/maps/place/Prop+Floor+Realty...+Real+Estate+Service+Provider+Company/data=!4m7!3m6!1s0x3bae1678a89f09d7:0x76507f62f55e9deb!8m2!3d12.9774861!4d77.6388236!16s%2Fg%2F11cm4f3scs!19sChIJ1wmfqHgWrjsR651e9WJ_UHY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Anthra Real Estate Agency,Real estate agency,120,4.2,098451 05286,,,,,,,,"#113, 6th Cross Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095","=HYPERLINK(""https://www.google.com/maps/place/Anthra+Real+Estate+Agency/data=!4m7!3m6!1s0x3bae144466bc7133:0xf25c2d8f33a5c806!8m2!3d12.936785!4d77.6246374!16s%2Fg%2F1v1vbmw_!19sChIJM3G8ZkQUrjsRBsilM48tXPI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
HTR PROPERTIES,Real estate agency,120,4.7,098866 61254,,,,,,,,"1294, 1st Floor, 7th Main Rd, A Block, Milk Colony, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010","=HYPERLINK(""https://www.google.com/maps/place/HTR+PROPERTIES/data=!4m7!3m6!1s0x3bae3dacfdc050a7:0xc0f340151bcc4988!8m2!3d13.0079287!4d77.5564064!16s%2Fg%2F11h4tp0lr8!19sChIJp1DA_aw9rjsRiEnMGxVA88A?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
M4 Estates,Real estate agent,70,4.9,098450 27409,http://www.m4estates.com/,"=HYPERLINK(""http://www.m4estates.com/"", ""Visit Website"")",,,,,,"No.20/3, Buddha Vihara Rd, Frazer Town, Bengaluru, Karnataka 560005","=HYPERLINK(""https://www.google.com/maps/place/M4+Estates/data=!4m7!3m6!1s0x3bae16f18e269e53:0x8e031f01db12b6c3!8m2!3d12.9969496!4d77.6171137!16s%2Fg%2F1td7rmzl!19sChIJU54mjvEWrjsRw7YS2wEfA44?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
